,B2,B3,B4,B5,B6,B7,B8,B8A,CHL
45,0.19990000000000002,0.224,0.2646,0.2873,0.3005,0.3099,0.1888,0.3289,1.36
46,0.015300000000000001,0.006900000000000001,0.0021000000000000003,0.0013000000000000002,0.0013000000000000002,0.0025,0.0015,0.0008,0.2
47,0.0155,0.008,0.0021000000000000003,0.0027,0.0018000000000000002,0.0017000000000000001,0.002,0.0016,0.83
48,0.0233,0.0158,0.0118,0.0112,0.0117,0.012400000000000001,0.010100000000000001,0.0119,0.55
49,0.0227,0.0165,0.0098,0.0085,0.007200000000000001,0.0076,0.0083,0.008400000000000001,1.39
50,0.0137,0.0098,0.0035,0.0032,0.0027,0.0022,0.002,0.0015,3.12
67,0.3729,0.3607,0.32830000000000004,0.32430000000000003,0.2972,0.2874,0.2591,0.25620000000000004,1.25
69,0.3704,0.3408,0.30560000000000004,0.3143,0.2872,0.2752,0.24230000000000002,0.24280000000000002,0.82
80,0.040100000000000004,0.033,0.0181,0.015300000000000001,0.014100000000000001,0.013800000000000002,0.0119,0.0118,2.21
82,0.0247,0.0206,0.0122,0.012100000000000001,0.011600000000000001,0.012400000000000001,0.013600000000000001,0.012700000000000001,1.38
83,0.017400000000000002,0.012400000000000001,0.0071,0.0085,0.0071,0.0063,0.0066,0.0061,1.8
85,0.0171,0.0155,0.006200000000000001,0.006900000000000001,0.0035,0.0043,0.0038,0.0046,2.21
86,0.0109,0.010700000000000001,0.0029000000000000002,0.0018000000000000002,0.001,0.0014,0.0024000000000000002,0.0032,2.22
87,0.1253,0.11850000000000001,0.1056,0.11230000000000001,0.10540000000000001,0.1003,0.1039,0.09720000000000001,2.48
90,0.0218,0.016300000000000002,0.007200000000000001,0.0056,0.0043,0.0046,0.0044,0.0034000000000000002,1.94
91,0.006500000000000001,0.0077,0.00030000000000000003,0.0001,0.0001,0.0001,0.0001,0.0001,1.94
96,0.0245,0.0198,0.0109,0.010700000000000001,0.0112,0.0122,0.0102,0.0097,1.39
97,0.029300000000000003,0.0253,0.0154,0.0166,0.014100000000000001,0.0146,0.0134,0.0134,3.14
98,0.1917,0.1658,0.1462,0.1468,0.1437,0.13440000000000002,0.1665,0.1345,2.45
112,0.0175,0.0097,0.0044,0.003,0.0027,0.0046,0.0029000000000000002,0.0028,0.72
113,0.018000000000000002,0.009600000000000001,0.0049,0.0039000000000000003,0.004,0.0046,0.0028,0.0027,0.73
117,0.027,0.018600000000000002,0.006900000000000001,0.006,0.005200000000000001,0.005,0.0053,0.0043,0.76
120,0.0207,0.0128,0.004200000000000001,0.0029000000000000002,0.0017000000000000001,0.0029000000000000002,0.0031000000000000003,0.0033,1.2
121,0.053500000000000006,0.0472,0.040400000000000005,0.0427,0.0397,0.039,0.033100000000000004,0.0376,1.6
128,0.0245,0.0252,0.0122,0.0123,0.0122,0.0119,0.0114,0.0108,1.67
129,0.0235,0.0227,0.014,0.014100000000000001,0.0152,0.013600000000000001,0.013000000000000001,0.0125,1.93
134,0.0172,0.0125,0.0058000000000000005,0.0039000000000000003,0.0031000000000000003,0.0028,0.0019,0.0025,1.4
138,0.0159,0.0111,0.0037,0.004200000000000001,0.0024000000000000002,0.0029000000000000002,0.0017000000000000001,0.0021000000000000003,1.9
139,0.0176,0.0125,0.0037,0.0029000000000000002,0.0018000000000000002,0.0036000000000000003,0.0024000000000000002,0.0012000000000000001,1.61
140,0.0251,0.016,0.0063,0.0054,0.004200000000000001,0.0047,0.0036000000000000003,0.0019,2.36
141,0.008700000000000001,0.0115,0.0047,0.0038,0.0031000000000000003,0.0035,0.0024000000000000002,0.0026000000000000003,2.03
142,0.0102,0.0097,0.0035,0.0021000000000000003,0.0021000000000000003,0.0013000000000000002,0.001,0.0024000000000000002,0.9
143,0.0187,0.014100000000000001,0.0066,0.0068000000000000005,0.0055000000000000005,0.0045000000000000005,0.004200000000000001,0.0037,0.47
144,0.0149,0.0122,0.0039000000000000003,0.0028,0.0016,0.0017000000000000001,0.0022,0.0012000000000000001,0.89
145,0.0099,0.010400000000000001,0.0025,0.0006000000000000001,0.0001,0.0001,0.0001,0.0001,0.45
150,0.018000000000000002,0.0097,0.0024000000000000002,0.0024000000000000002,0.0008,0.0028,0.0016,0.0009000000000000001,0.89
151,0.0359,0.0256,0.0151,0.015700000000000002,0.0143,0.013900000000000001,0.0128,0.011600000000000001,1.81
165,0.0244,0.018500000000000003,0.0091,0.009600000000000001,0.008,0.008,0.0074,0.0077,2.35
168,0.019200000000000002,0.015000000000000001,0.0058000000000000005,0.0053,0.003,0.0028,0.002,0.0022,2.15
169,0.0118,0.009000000000000001,0.0017000000000000001,0.0013000000000000002,0.0001,0.0005,0.0008,0.0001,2.88
170,0.0103,0.010100000000000001,0.0028,0.0007,0.0001,0.0008,0.00030000000000000003,0.0001,3.13
173,0.0247,0.021500000000000002,0.0134,0.0128,0.0115,0.0098,0.0118,0.009000000000000001,1.86
179,0.6401,0.6041000000000001,0.5923,0.6356,0.5987,0.5774,0.5760000000000001,0.5554,0.83
180,0.0833,0.0867,0.08170000000000001,0.08900000000000001,0.0844,0.0809,0.0675,0.0745,1.26
182,0.0334,0.025900000000000003,0.018500000000000003,0.0184,0.0183,0.018600000000000002,0.0188,0.0159,2.21
183,0.0441,0.0375,0.0332,0.0339,0.029900000000000003,0.030600000000000002,0.0298,0.030600000000000002,0.91
184,0.039,0.0369,0.031100000000000003,0.031900000000000005,0.0304,0.0284,0.028800000000000003,0.029,2.32
185,0.028900000000000002,0.0261,0.021400000000000002,0.0221,0.0228,0.0207,0.0181,0.020200000000000003,1.25
188,0.8550000000000001,0.8082,0.8026000000000001,0.8678,0.8406,0.8384,0.8430000000000001,0.8263,0.65
189,0.771,0.7354,0.7029000000000001,0.7254,0.6940000000000001,0.6901,0.7167,0.6751,1.09
191,0.035500000000000004,0.030500000000000003,0.0216,0.020200000000000003,0.016900000000000002,0.0172,0.0165,0.0151,1.28
192,0.0166,0.0125,0.0086,0.008,0.0068000000000000005,0.0078000000000000005,0.0078000000000000005,0.007,1.72
193,0.0246,0.0235,0.0109,0.0105,0.0089,0.0086,0.008,0.0064,2.87
194,0.6813,0.6304000000000001,0.5930000000000001,0.6255000000000001,0.5862,0.5642,0.5718,0.5456,1.54
195,0.5217,0.47290000000000004,0.4408,0.4702,0.43570000000000003,0.41200000000000003,0.42510000000000003,0.394,2.03
201,0.026600000000000002,0.0238,0.011300000000000001,0.0085,0.006900000000000001,0.006,0.0057,0.0051,0.71
203,0.13920000000000002,0.1366,0.13190000000000002,0.1371,0.1315,0.12890000000000001,0.1252,0.1287,2.7
204,0.2849,0.2379,0.1968,0.19290000000000002,0.1728,0.16570000000000001,0.2139,0.1603,1.96
205,0.0233,0.0175,0.015000000000000001,0.014400000000000001,0.0132,0.015600000000000001,0.016300000000000002,0.0165,1.73
206,0.06380000000000001,0.051500000000000004,0.0427,0.038700000000000005,0.0308,0.0292,0.0334,0.029900000000000003,1.65
208,0.0137,0.0117,0.0049,0.0049,0.0039000000000000003,0.0027,0.0029000000000000002,0.0033,1.41
210,0.5418000000000001,0.5438000000000001,0.5488000000000001,0.5653,0.5496,0.5428000000000001,0.5811000000000001,0.5329,2.18
212,0.0221,0.0125,0.006,0.0043,0.0025,0.0024000000000000002,0.0034000000000000002,0.0022,1.29
214,0.335,0.31920000000000004,0.30860000000000004,0.33240000000000003,0.3302,0.3286,0.31970000000000004,0.32,0.67
218,0.166,0.14650000000000002,0.1404,0.1436,0.1313,0.1336,0.1245,0.1328,0.41
219,0.0317,0.0224,0.0142,0.012,0.0117,0.0108,0.011000000000000001,0.009600000000000001,1.85
220,0.026500000000000003,0.0187,0.01,0.0085,0.007200000000000001,0.007200000000000001,0.006900000000000001,0.0058000000000000005,1.7
221,0.033,0.0262,0.0212,0.02,0.0204,0.0184,0.016800000000000002,0.019700000000000002,1.49
222,0.0296,0.0258,0.020800000000000003,0.021500000000000002,0.020900000000000002,0.0233,0.0198,0.0234,1.08
225,0.0742,0.0776,0.0538,0.0524,0.044500000000000005,0.0422,0.038900000000000004,0.0429,2.1
226,0.1734,0.1653,0.1582,0.1608,0.15380000000000002,0.15430000000000002,0.1554,0.15410000000000001,1.04
228,0.0477,0.041,0.0297,0.0284,0.0268,0.0244,0.0257,0.023200000000000002,1.08
229,0.0273,0.0187,0.0077,0.006,0.006,0.0057,0.0051,0.0044,0.73
230,0.0324,0.0285,0.0177,0.018500000000000003,0.0162,0.0183,0.0148,0.0177,1.13
231,0.0893,0.0834,0.08070000000000001,0.0863,0.08,0.0757,0.0692,0.07050000000000001,0.51
232,0.10640000000000001,0.08990000000000001,0.0787,0.0847,0.07640000000000001,0.07350000000000001,0.075,0.0734,0.25
233,0.0238,0.0117,0.0043,0.0043,0.0036000000000000003,0.0025,0.0031000000000000003,0.003,0.16
234,0.0233,0.0166,0.0053,0.0048000000000000004,0.0043,0.0038,0.0034000000000000002,0.0024000000000000002,0.86
235,0.5909,0.5613,0.5534,0.5763,0.5551,0.5646,0.5438000000000001,0.5516,0.62
236,0.6393,0.5840000000000001,0.5507000000000001,0.5812,0.5455,0.5299,0.5303,0.5107,1.13
241,0.0058000000000000005,0.0061,0.0031000000000000003,0.0038,0.0017000000000000001,0.0039000000000000003,0.0049,0.006,0.91
242,0.28,0.2396,0.20800000000000002,0.20950000000000002,0.1918,0.1807,0.2136,0.16790000000000002,1.02
243,0.17550000000000002,0.1608,0.149,0.1562,0.1494,0.14650000000000002,0.1401,0.13970000000000002,1.02
244,0.3143,0.2982,0.28700000000000003,0.2826,0.2803,0.2848,0.2848,0.276,1.04
245,0.3287,0.3103,0.3015,0.29400000000000004,0.2902,0.2933,0.3018,0.29000000000000004,1.04
246,0.2497,0.2325,0.22210000000000002,0.2106,0.21450000000000002,0.2134,0.22240000000000001,0.2101,0.89
247,0.0198,0.016,0.0098,0.008400000000000001,0.008400000000000001,0.0067,0.006200000000000001,0.0049,1.34
248,0.0275,0.0213,0.011600000000000001,0.0109,0.007500000000000001,0.008700000000000001,0.0058000000000000005,0.0076,0.84
250,0.016,0.0091,0.005200000000000001,0.0051,0.0039000000000000003,0.0044,0.0031000000000000003,0.0028,0.43
252,0.0456,0.0362,0.024800000000000003,0.024200000000000003,0.0227,0.0223,0.0188,0.020900000000000002,1.28
262,0.0892,0.0852,0.08120000000000001,0.0741,0.07200000000000001,0.07440000000000001,0.0756,0.0755,1.28
274,0.053500000000000006,0.0472,0.040400000000000005,0.0427,0.0397,0.039,0.033100000000000004,0.0376,1.6
312,0.0223,0.019,0.009600000000000001,0.008400000000000001,0.0071,0.006500000000000001,0.0068000000000000005,0.0063,1.31127923529412
315,0.049100000000000005,0.0397,0.028200000000000003,0.029900000000000003,0.028300000000000002,0.029900000000000003,0.022500000000000003,0.0257,1.05882352941176
316,0.0507,0.038400000000000004,0.0297,0.0268,0.0241,0.025,0.0233,0.023100000000000002,1.88103352941176
